label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,132.5
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.1
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.5,41.5,52.4,8.58,0.0,19.99,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.7
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.5,5.5,41.5,52.4,8.6,0.0,20.03,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.0
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.5,5.5,41.5,52.4,8.6,0.0,20.03,0,0.0,0.0,0.0,0.0,0.0,0.0,,132.3
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.38,0.0,19.63,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.6
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.49,0.0,19.85,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.3
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.49,0.0,19.85,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.7
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.48,0.0,19.82,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.9
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.55,0.0,19.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.3
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.55,0.0,19.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.2
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.5,41.5,52.4,8.65,0.0,20.16,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.0
