date,close,open,high,low,volume,amount,code,name
2025-12-17,845.63,855.59,861.09,828.21,2.38400424,10.715475550299999,801015,渔业
2025-12-18,848.59,839.91,865.72,835.92,1.90109779,8.778083624199999,801015,渔业
2025-12-19,873.47,849.77,877.78,843.13,2.69670837,11.6138352984,801015,渔业
2025-12-22,876.66,872.56,882.15,862.59,1.79980142,8.6653120789,801015,渔业
2025-12-23,860.78,874.09,894.0,857.89,1.8414857,8.6996178355,801015,渔业
2025-12-24,872.01,885.03,900.69,856.72,4.587431,19.6972909499,801015,渔业
2025-12-25,876.96,863.1,889.56,851.72,4.01527565,19.1168771382,801015,渔业
2025-12-26,863.53,872.56,876.69,857.58,2.92578731,14.208594648599998,801015,渔业
2025-12-29,840.06,858.27,860.64,835.38,2.42572261,11.2855744622,801015,渔业
2025-12-30,827.26,839.19,842.44,820.63,1.86485729,8.6539924051,801015,渔业
2025-12-31,834.05,829.6,842.79,815.24,1.8565618,8.574243099,801015,渔业
2026-01-05,846.96,831.58,854.91,825.9,2.04321874,10.0131676305,801015,渔业
2026-01-06,857.45,849.01,867.19,841.37,2.02975889,9.469180401100001,801015,渔业
2026-01-07,894.72,867.68,900.94,858.31,4.64784449,23.2555571544,801015,渔业
2026-01-08,890.57,884.09,900.04,872.0,3.24004664,17.706415938499998,801015,渔业
2026-01-09,924.71,892.85,933.98,883.75,4.82996717,25.808542231999997,801015,渔业
2026-01-12,932.05,914.36,937.28,902.95,4.03349257,21.854102077199997,801015,渔业
2026-01-13,898.14,925.0,929.02,893.28,3.15716545,16.3081615799,801015,渔业
2026-01-14,896.53,910.44,926.7,882.44,3.62071062,19.0613971143,801015,渔业
2026-01-15,872.34,891.63,899.47,866.66,2.4086531,12.001969196500001,801015,渔业
2026-01-16,880.94,875.86,896.79,862.3,2.30915104,12.8533831001,801015,渔业
2026-01-19,895.21,877.39,899.23,872.42,1.84089885,9.8918453898,801015,渔业
2026-01-20,889.92,893.4,906.78,881.12,1.86140001,9.9344091362,801015,渔业
2026-01-21,894.3,886.92,898.88,877.61,1.50193502,8.1602304591,801015,渔业
2026-01-22,903.13,894.67,909.49,888.23,1.82377557,8.4929680036,801015,渔业
2026-01-23,906.52,912.69,920.68,893.84,2.243321,12.026917058399999,801015,渔业
2026-01-26,886.17,900.88,905.15,874.37,2.0085902,9.992283386,801015,渔业
2026-01-27,870.27,884.94,887.09,855.07,1.68556455,8.157589802,801015,渔业
2026-01-28,873.69,867.56,881.19,862.99,1.38168898,6.5919331174,801015,渔业
2026-01-29,888.18,871.78,891.02,862.61,2.20121465,10.0016069038,801015,渔业
2026-01-30,917.91,888.68,935.69,881.85,5.49635173,26.5421885498,801015,渔业
2026-02-02,879.88,908.46,917.59,869.63,3.68733197,18.8244908725,801015,渔业
2026-02-03,884.76,888.71,895.49,871.93,2.08371063,10.5939687099,801015,渔业
2026-02-04,903.0,890.1,908.3,880.27,2.36328375,12.9856931998,801015,渔业
2026-02-05,900.46,898.67,915.14,887.62,2.10708533,12.2470707918,801015,渔业
2026-02-06,902.65,896.92,917.92,884.66,2.22371362,11.689907106500002,801015,渔业
2026-02-09,921.91,915.62,938.84,911.3,2.75918843,15.385299268599999,801015,渔业
2026-02-10,928.67,921.88,947.26,904.93,2.92669125,16.2997775309,801015,渔业
2026-02-11,907.25,924.15,926.54,903.14,1.92016486,10.7053361286,801015,渔业
2026-02-12,890.59,908.19,914.84,884.73,2.1089105,10.08004184,801015,渔业
2026-02-13,912.83,896.45,933.92,889.82,2.89816063,16.0651814124,801015,渔业
2026-02-24,922.66,909.09,935.3,898.1,2.81703327,17.7104735677,801015,渔业
2026-02-25,926.55,921.43,945.15,916.19,2.48847187,13.628946768199999,801015,渔业
2026-02-26,903.69,927.7,934.31,901.33,2.17014252,11.2050235097,801015,渔业
2026-02-27,905.63,904.76,915.04,891.51,1.72042759,9.3748519035,801015,渔业
2026-03-02,875.85,892.74,899.73,862.92,2.38947489,11.830214774100002,801015,渔业
2026-03-03,867.25,879.95,895.03,860.49,2.4719526,13.6305256002,801015,渔业
2026-03-04,877.65,872.43,896.18,860.03,2.65525715,16.1436550225,801015,渔业
2026-03-05,864.03,875.64,883.52,855.53,2.05724675,11.783553030799998,801015,渔业
2026-03-06,878.05,858.86,880.43,842.06,2.07514834,10.6533354892,801015,渔业
2026-03-09,870.09,875.72,887.7,858.66,1.7609049,8.813369907,801015,渔业
2026-03-10,874.32,869.69,883.09,863.62,1.50288206,7.677062406,801015,渔业
2026-03-11,868.3,871.93,877.63,859.62,1.30892747,6.559141949,801015,渔业
2026-03-12,857.15,864.38,870.9,852.22,1.53027392,6.956612550700001,801015,渔业
2026-03-13,852.75,854.24,870.89,846.91,1.64946249,7.4411996737,801015,渔业
2026-03-16,888.28,877.91,915.63,875.78,4.478546,22.3266926819,801015,渔业
2026-03-17,855.13,877.09,890.21,852.22,3.02149902,15.1673505114,801015,渔业
2026-03-18,841.28,854.87,862.49,827.06,2.39193104,10.239303699099999,801015,渔业
2026-03-19,820.53,833.03,843.04,816.71,1.70302137,7.37866613,801015,渔业
2026-03-20,794.18,822.93,830.16,792.92,1.73041,7.2462940694,801015,渔业
2026-03-23,741.82,779.88,780.79,735.7,1.88285905,7.6956446483,801015,渔业
2026-03-24,780.45,758.01,782.04,744.85,1.68056558,7.2084859809,801015,渔业
